Campaign ID,Creative Size,Creative Messaging,Location,City,State,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CVR,CPC,CPM,CTR,Viewability,vCPM
1,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",Los Angeles,California,abcnews.go.com,Google Ad Manager,Apple PC,10524,55,7601,10242,11,6136.134,$557.83,20.00%,$111.57,$583.06,0.52%,72.23%,$807.28
2,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",Orlando,Florida,accuweather.com,PubMatic,Smartphone,18324,60,3145,13703,8,6996.232,$874.53,13.33%,$116.60,$381.81,0.33%,17.16%,"$2,224.56"
3,300x250,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,accuweather.com,Google Ad Manager,Smartphone,7862,20,2152,6039,2,6506.434,"$3,253.22",10.00%,$325.32,$827.58,0.25%,27.37%,"$3,023.44"
4,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,accuweather.com,Xandr - Monetize SSP (AppNexus),Smartphone,10501,90,4126,7654,8,6244.518,$780.56,8.89%,$69.38,$594.66,0.86%,39.29%,"$1,513.46"
5,300x250,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,accuweather.com,Magnite DV+,Apple PC,23156,73,4468,18821,15,6173.413,$411.56,20.55%,$84.57,$266.60,0.32%,19.30%,"$1,381.69"
6,320x50,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,accuweather.com,Google Ad Manager,Smartphone,23711,69,4337,17211,8,5740.952,$717.62,11.59%,$83.20,$242.12,0.29%,18.29%,"$1,323.72"
7,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",Nashville,Tennessee,accuweather.com,PubMatic,Smartphone,23965,270,13608,21704,12,5706.864,$475.57,4.44%,$21.14,$238.13,1.13%,56.78%,$419.38
8,300x250,Sign up Now - 10% Off,"Nashville, Tennessee",Nashville,Tennessee,accuweather.com,Google Ad Manager,Smartphone,14730,88,1272,12427,3,5190.536,"$1,730.18",3.41%,$58.98,$352.38,0.60%,8.64%,"$4,080.61"
9,300x250,10% Discount - Ends 6/1,"Champaign & Springfield-Decatur,Illinois",Champaign,llinois,accuweather.com,Magnite DV+,Smartphone,36863,116,3570,29458,15,4752.817,$316.85,12.93%,$40.97,$128.93,0.31%,9.68%,"$1,331.32"
10,320x50,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",Ft. Myers,Florida,accuweather.com,BidSwitch,Smartphone,213699,270,18395,164487,4,2194.987,$548.75,1.48%,$8.13,$10.27,0.13%,8.61%,$119.33
11,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,accuweather.com,OpenX,Smartphone,49936,126,25461,44751,13,2025.784,$155.83,10.32%,$16.08,$40.57,0.25%,50.99%,$79.56
12,300x250,Sign up Today - 10% Off,"Los Angeles, California",Los Angeles,California,accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,1970.357,$492.59,6.67%,$32.84,$129.63,0.39%,35.36%,$366.58
13,300x250,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,accuweather.com,Google Ad Manager,Windows PC,49250,220,9205,43535,15,1694.471,$112.96,6.82%,$7.70,$34.41,0.45%,18.69%,$184.08
14,300x250,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,accuweather.com,BidSwitch,Smartphone,10811,25,988,2975,3,1679.834,$559.94,12.00%,$67.19,$155.38,0.23%,9.14%,"$1,700.24"
15,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",Miami,Florida,accuweather.com,BidSwitch,Smartphone,23829,75,8326,18812,5,1534.698,$306.94,6.67%,$20.46,$64.40,0.31%,34.94%,$184.33
16,320x50,10% Discount - Ends 6/1,"Los Angeles, California",Los Angeles,California,accuweather.com,OpenX,Smartphone,19826,39,6511,15752,10,1447.873,$144.79,25.64%,$37.12,$73.03,0.20%,32.84%,$222.37
17,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,activebeat.com,Magnite DV+,Windows PC,81905,220,61995,71110,24,7065.669,$294.40,10.91%,$32.12,$86.27,0.27%,75.69%,$113.97
18,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,activebeat.com,Magnite DV+,Smartphone,16151,54,4360,11358,3,1706.224,$568.74,5.56%,$31.60,$105.64,0.33%,27.00%,$391.34
19,300x50,Sign up Now - 10% Off,"San Francisco, California",San Francisco,California,activebeat.com,BidSwitch,Smartphone,68704,185,31283,59462,16,1605.566,$100.35,8.65%,$8.68,$23.37,0.27%,45.53%,$51.32
20,300x250,Sign up Today - 10% Off,"San Francisco, California",San Francisco,California,activebeat.com,Google Ad Manager,Windows PC,76439,100,58269,66924,8,1524.81,$190.60,8.00%,$15.25,$19.95,0.13%,76.23%,$26.17
21,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,ajc.com,Xandr - Monetize SSP (AppNexus),Windows PC,17833,61,8670,16871,10,4899.156,$489.92,16.39%,$80.31,$274.72,0.34%,48.62%,$565.07
22,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",Tampa,Florida,ajc.com,Google Ad Manager,Apple PC,16719,35,9944,15714,13,1588.648,$122.20,37.14%,$45.39,$95.02,0.21%,59.48%,$159.76
23,320x50,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",Ft. Myers,Florida,ajc.com,PubMatic,Smartphone,12592,63,7472,11687,4,1521.185,$380.30,6.35%,$24.15,$120.81,0.50%,59.34%,$203.58
24,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,ajc.com,Magnite DV+,Smartphone,14136,88,4683,13273,3,1476.537,$492.18,3.41%,$16.78,$104.45,0.62%,33.13%,$315.30
25,320x50,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,al.com,PubMatic,Smartphone,14489,37,12453,13873,10,6195.841,$619.58,27.03%,$167.46,$427.62,0.26%,85.95%,$497.54
26,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",Ft. Myers,Florida,allrecipes.com,Google Ad Manager,Windows PC,20348,101,14945,19548,6,1596.552,$266.09,5.94%,$15.81,$78.46,0.50%,73.45%,$106.83
27,320x50,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,alotfinance.com,OpenX,Smartphone,40447,177,16663,29774,12,5083.886,$423.66,6.78%,$28.72,$125.69,0.44%,41.20%,$305.10
28,300x250,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,androidauthority.com,PubMatic,Smartphone,14451,50,5606,13461,8,6397.603,$799.70,16.00%,$127.95,$442.71,0.35%,38.79%,"$1,141.21"
29,300x250,Sign up Now - 10% Off,"New York City, New York",New York City,New York,androidpolice.com,Taboola,Apple PC,11668,110,7860,11009,5,2653.982,$530.80,4.55%,$24.13,$227.46,0.94%,67.36%,$337.66
30,300x250,Sign up Today - 10% Off,"New York City, New York",New York City,New York,aol.com,PubMatic,Windows PC,19379,49,12168,16616,97,7294.1,$75.20,197.96%,$148.86,$376.39,0.25%,62.79%,$599.45
31,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",Jacksonville,Florida,aol.com,Google Ad Manager,Smartphone,8716,40,6490,7862,2,2100.82,"$1,050.41",5.00%,$52.52,$241.03,0.46%,74.46%,$323.70
32,300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",Champaign,llinois,aol.com,OpenX,Smartphone,11062,78,6539,9391,2,1500.099,$750.05,2.56%,$19.23,$135.61,0.71%,59.11%,$229.41
33,300x50,10% Discount - Ends 6/1,"Los Angeles, California",Los Angeles,California,apnews.com,BidSwitch,Smartphone,100800,185,14473,85424,10,7004.73,$700.47,5.41%,$37.86,$69.49,0.18%,14.36%,$483.99
34,300x250,10% Discount - Ends 6/1,"Los Angeles, California",Los Angeles,California,apnews.com,Google Ad Manager,Smartphone,12864,84,5549,11852,5,1905.89,$381.18,5.95%,$22.69,$148.16,0.65%,43.14%,$343.47
35,320x50,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",Tampa,Florida,att.yahoo.com,BidSwitch,Smartphone,10992,97,6677,10132,3,1675.987,$558.66,3.09%,$17.28,$152.47,0.88%,60.74%,$251.01
36,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",Nashville,Tennessee,att.yahoo.com,Google Ad Manager,Smartphone,14984,63,9614,14086,3,1505.01,$501.67,4.76%,$23.89,$100.44,0.42%,64.16%,$156.54
37,320x50,10% Discount - Ends 6/1,"New York City, New York",New York City,New York,autotrader.com,Google Ad Manager,Smartphone,19093,50,9626,17815,10,6612.146,$661.21,20.00%,$132.24,$346.31,0.26%,50.42%,$686.90
38,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",West Palm Beach,Florida,autotrader.com,BidSwitch,Smartphone,43057,122,23767,41484,7,5884.931,$840.70,5.74%,$48.24,$136.68,0.28%,55.20%,$247.61
39,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",Miami,Florida,autotrader.com,Google Ad Manager,Smartphone,53561,147,37063,51480,14,2039.355,$145.67,9.52%,$13.87,$38.08,0.27%,69.20%,$55.02
40,300x250,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,autotrader.com,PubMatic,Smartphone,67752,174,47126,65080,3,1557.016,$519.01,1.72%,$8.95,$22.98,0.26%,69.56%,$33.04
